,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
288,Hunter Renfrow,WR,LVR,0.0,PHI,7,7,Sun,8,7,58,8.29,0,87.50%,7.25,12.8,0,0,0,0,0,0,0,0,0,1,33,22
289,Robby Anderson,WR,CAR,0.0,NYJ,1,1,Sun,3,1,57,57.0,1,33.30%,19.0,12.7,0,0,0,0,0,0,0,0,0,1,19,14
290,Tyreek Hill,WR,KAN,1.0,TEN,7,7,Sun,9,6,49,8.17,0,66.70%,5.44,12.7,0,0,0,0,0,1,18,0,0,0,3,27
291,Tim Patrick,WR,DEN,1.0,JAX,2,2,Sun,4,3,37,12.33,1,75.00%,9.25,12.7,0,0,0,0,0,0,0,0,0,1,23,13
292,Zay Jones,WR,LVR,0.0,BAL,1,1,Mon,2,2,46,23.0,1,100.00%,23.0,12.6,0,0,0,0,0,0,0,0,0,1,33,27
293,Darnell Mooney,WR,CHI,0.0,CIN,2,2,Sun,8,6,66,11.0,0,75.00%,8.25,12.6,0,0,0,0,0,0,0,0,0,1,20,17
294,Calvin Ridley,WR,ATL,1.0,MIA,6,7,Sun,10,4,26,6.5,1,40.00%,2.6,12.6,0,0,0,0,0,0,0,0,0,1,30,28
295,Mecole Hardman,WR,KAN,0.0,LAC,3,3,Sun,4,3,33,11.0,1,75.00%,8.25,12.5,0,0,0,0,0,1,2,0,0,0,24,30
296,Justin Jefferson,WR,MIN,1.0,CIN,1,1,Sun,9,5,71,14.2,0,55.60%,7.89,12.5,1,1,11,0,0,0,0,0,0,0,24,27
297,Henry Ruggs III,WR,LVR,0.0,MIA,3,3,Sun,7,4,78,19.5,0,57.10%,11.14,12.5,0,0,0,0,0,1,7,0,0,1,31,28
298,Davante Adams,WR,GNB,0.0,PIT,4,4,Sun,11,6,64,10.67,0,54.50%,5.82,12.4,0,0,0,0,0,0,0,0,0,1,27,17
299,Darnell Mooney,WR,CHI,0.0,SFO,8,8,Sun,9,6,64,10.67,0,66.70%,7.11,12.4,0,0,0,0,0,0,0,0,0,0,22,33
300,James Proche,WR,BAL,1.0,DEN,4,4,Sun,6,5,74,14.8,0,83.30%,12.33,12.4,0,0,0,0,0,0,0,0,0,1,23,7
301,Robert Woods,WR,LAR,0.0,CHI,1,1,Sun,4,3,27,9.0,1,75.00%,6.75,12.4,0,0,0,0,0,1,7,0,0,1,34,14
302,Quintez Cephus,WR,DET,1.0,CHI,4,4,Sun,5,4,83,20.75,0,80.00%,16.6,12.3,0,0,0,0,0,0,0,0,0,0,14,24
303,Byron Pringle,WR,KAN,1.0,TEN,7,7,Sun,6,5,73,14.6,0,83.30%,12.17,12.3,0,0,0,0,0,0,0,0,0,0,3,27
304,Tre'Quan Smith,WR,NOR,0.0,TAM,7,8,Sun,3,3,33,11.0,1,100.00%,11.0,12.3,0,0,0,0,0,0,0,0,0,1,36,27
305,Quintez Cephus,WR,DET,0.0,SFO,1,1,Sun,6,3,12,4.0,1,50.00%,2.0,12.2,0,0,0,0,0,0,0,0,0,0,33,41
306,Keelan Cole,WR,NYJ,0.0,TEN,4,4,Sun,4,3,92,30.67,0,75.00%,23.0,12.2,0,0,0,0,0,0,0,0,0,1,27,24
307,Stefon Diggs,WR,BUF,0.0,WAS,3,3,Sun,10,6,62,10.33,0,60.00%,6.2,12.2,0,0,0,0,0,0,0,0,0,1,43,21
308,Marvin Jones,WR,JAX,0.0,ARI,3,3,Sun,8,6,62,10.33,0,75.00%,7.75,12.2,0,0,0,0,0,0,0,0,0,0,19,31
309,Olamide Zaccheaus,WR,ATL,1.0,NYG,3,3,Sun,6,3,32,10.67,1,50.00%,5.33,12.2,0,0,0,0,0,0,0,0,0,1,17,14
310,Parris Campbell,WR,IND,0.0,HOU,6,6,Sun,1,1,51,51.0,1,100.00%,51.0,12.1,0,0,0,0,0,0,0,0,0,1,31,3
311,Bryan Edwards,WR,LVR,0.0,BAL,1,1,Mon,5,4,81,20.25,0,80.00%,16.2,12.1,0,0,0,0,0,0,0,0,0,1,33,27
312,DeVante Parker,WR,MIA,1.0,NWE,1,1,Sun,7,4,81,20.25,0,57.10%,11.57,12.1,0,0,0,0,0,0,0,0,0,1,17,16
313,Gabriel Davis,WR,BUF,0.0,PIT,1,1,Sun,5,2,40,20.0,1,40.00%,8.0,12.0,0,0,0,0,0,0,0,0,0,0,16,23
314,Cyril Grayson,WR,TAM,1.0,NOR,8,8,Sun,1,1,50,50.0,1,100.00%,50.0,12.0,0,0,0,0,0,0,0,0,0,0,27,36
315,T.Y. Hilton,WR,IND,0.0,HOU,6,6,Sun,4,4,80,20.0,0,100.00%,20.0,12.0,0,0,0,0,0,0,0,0,0,1,31,3
316,Anthony Miller,WR,HOU,0.0,CAR,3,3,Thu,6,4,20,5.0,1,66.70%,3.33,12.0,0,0,0,0,0,0,0,0,0,0,9,24
