,player,pos,team,opp_home,opp,game,week,day,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,fmb,team_win,team_score,opp_score
262,Damien Harris,RB,NWE,1.0,CAR,9,9,Sun,15,30,2.0,1,1,1,3,3.0,0,100.00%,3.0,10.3,0,0,0,0,0,0,1,24,6
263,Mike Davis,RB,ATL,0.0,PHI,1,1,Sun,15,49,3.27,0,6,3,23,7.67,0,50.00%,3.83,10.2,0,0,0,0,0,0,0,6,32
264,Clyde Edwards-Helaire,RB,KAN,0.0,CLE,1,1,Sun,14,43,3.07,0,3,3,29,9.67,0,100.00%,9.67,10.2,0,0,0,0,0,0,1,33,29
265,David Johnson,RB,HOU,1.0,ARI,7,7,Sun,7,25,3.57,0,6,5,27,5.4,0,83.30%,4.5,10.2,0,0,0,0,0,0,0,5,31
266,Brandon Bolden,RB,NWE,1.0,CAR,9,9,Sun,8,54,6.75,0,2,2,27,13.5,0,100.00%,13.5,10.1,0,0,0,0,0,1,1,24,6
267,Mark Ingram,RB,HOU,1.0,IND,6,6,Sun,18,73,4.06,0,2,2,8,4.0,0,100.00%,4.0,10.1,0,0,0,0,0,0,0,3,31
268,David Johnson,RB,HOU,0.0,NWE,5,5,Sun,2,5,2.5,0,6,5,46,9.2,0,83.30%,7.67,10.1,0,0,0,0,0,0,0,22,25
269,Miles Sanders,RB,PHI,1.0,CAR,5,5,Sun,11,45,4.09,0,5,5,6,1.2,0,100.00%,1.2,10.1,0,0,0,0,0,0,1,21,18
270,DeeJay Dallas,RB,SEA,1.0,PIT,6,6,Sun,4,17,4.25,0,5,5,33,6.6,0,100.00%,6.6,10.0,0,0,0,0,0,1,0,20,23
271,Chase Edmonds,RB,ARI,0.0,HOU,7,7,Sun,15,81,5.4,0,3,1,9,9.0,0,33.30%,3.0,10.0,0,0,0,0,0,0,1,31,5
