,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
291,Kylen Granson,TE,IND,1.0,BAL,5,5,Mon,2,2,19,9.5,0,100.00%,9.5,3.9,0,0,0,0,0,0,0,0,0,0,25,31
292,O.J. Howard,TE,TAM,0.0,MIA,5,5,Sun,3,2,19,9.5,0,66.70%,6.33,3.9,0,0,0,0,0,0,0,0,0,1,45,17
293,Ricky Seals-Jones,TE,WAS,1.0,ATL,4,4,Sun,4,2,19,9.5,0,50.00%,4.75,3.9,0,0,0,0,0,0,0,0,0,1,34,30
294,Mo Alie-Cox,TE,IND,0.0,NYJ,9,9,Thu,1,1,28,28.0,0,100.00%,28.0,3.8,0,0,0,0,0,0,0,0,0,1,45,30
295,Jimmy Graham,TE,CHI,1.0,PIT,9,9,Mon,3,1,28,28.0,0,33.30%,9.33,3.8,0,0,0,0,0,0,0,0,0,0,27,29
296,David Njoku,TE,CLE,0.0,HOU,2,2,Sun,3,2,18,9.0,0,66.70%,6.0,3.8,0,0,0,0,0,0,0,0,0,1,31,21
297,David Njoku,TE,CLE,0.0,DEN,7,7,Thu,2,2,18,9.0,0,100.00%,9.0,3.8,0,0,0,0,0,0,0,0,0,1,17,14
298,Kyle Rudolph,TE,NYG,0.0,LAR,6,6,Sun,2,1,8,8.0,0,50.00%,4.0,3.8,0,0,0,0,0,0,0,0,0,0,11,38
299,Dalton Schultz,TE,DAL,1.0,LAC,2,2,Sun,2,2,18,9.0,0,100.00%,9.0,3.8,0,0,0,0,0,0,0,0,0,1,20,17
300,Jordan Akins,TE,HOU,0.0,NWE,5,5,Sun,2,2,17,8.5,0,100.00%,8.5,3.7,0,0,0,0,0,0,0,0,0,0,22,25
301,Joe Fortson,TE,KAN,1.0,WAS,6,6,Sun,1,1,27,27.0,0,100.00%,27.0,3.7,0,0,0,0,0,0,0,0,0,1,31,13
